channel,unionname,org,name of the channel if differs from unionname,country,channel_id,channel_url,created_at,description,videos_count,subs_count,views_count
SegrGenSLPCisl,Federazione dei lavoratori delle poste (SLP),CISL,SegrGenSLPCisl,italy,UC1AVDv3VbmlFo34rPccaBfw,https://www.youtube.com/channel/UC1AVDv3VbmlFo34rPccaBfw,2012-04-10 14:33:12+00:00,"Sindacato Lavoratori Poste 
e Recapiti/Logistica Privati CISL
 
Il Sindacato dei Lavoratori Poste della CISL, denominato SLP organizza, da rappresentanza e voce ai bisogni di tutela ed alle proposte dei lavoratori del Gruppo Poste Italiane e di quelli della comunicazione e della logistica postale, degli appalti e dei recapiti.

SLP-CISL: Idee al lavoro.
Da oltre 60 anni sempre al fianco dei lavoratori di Poste Italiane e dei Recapiti e Logistica Privati, degli appalti e dei recapiti.",69,193,69391
FitCislNaz,Federazione italiana trasporti (FIT),CISL,FIT-CISL Nazionale,italy,UCUHfxJxnmReQ3CgrHKsta2g,https://www.youtube.com/channel/UCUHfxJxnmReQ3CgrHKsta2g,2010-05-13 08:40:46+00:00,"Canale ufficiale della FIT-CISL.

La Federazione Italiana Trasporti organizza e rappresenta i lavoratori dei trasporti dell'ambiente e dei servizi.
E' costituita a livello nazionale, regionale, territoriale e di posto di lavoro.
La FIT aderisce alla CISL (Confederazione Italiana Sindacati Lavoratori) e sul piano internazionale alla International Transport Workers' Federation (ITF), all'European Transport Workers' Federation (E.T.F.) e, tramite la Cisl, alla Confederazione Europea dei Sindacati (CES).",224,296,65713
FirCisl,Federazione innovazione e ricerca (FIR),CISL,FirCisl,italy,UC2ruDSyInVZu-6mXwuA2X2g,https://www.youtube.com/channel/UC2ruDSyInVZu-6mXwuA2X2g,2012-02-15 11:49:53+00:00,"Fir Cisl, Federazione Innovazione e Ricerca, è l'associazione sindacale degli addetti degli Enti di Ricerca.",7,7,1141
smisindacatomediciitaliani6627,Sindacato dei medici,CISL,SMI Sindacato Medici Italiani,italy,UCI6bvNxAHhyzpUAIon7GJYA,https://www.youtube.com/channel/UCI6bvNxAHhyzpUAIon7GJYA,2018-12-17 16:29:33+00:00,"Il Sindacato dei Medici Italiani (SMI) nasce dalla volontà di semplificare il panorama frammentato e spesso autoreferenziale del sindacalismo di settore. E' per composizione (con medici che operano in tutti i settori della sanità) e rappresentatività un elemento unico, in un panorama nazionale caratterizzato dalla presenza di realtà rigidamente strutturate per settore di appartenenza professionale. Intendiamo valorizzare le diverse professionalità sia del comparto dipendente sia di quello convenzionato. Con una presenza capillare in tutta Italia e sezioni sindacali in ogni regione. Della rete di conoscenze e saperi dello Smi si sono strutturati anche un Centro Studi e Ricerche e una società scientifica, l’Assimefac, quest’ultima anche provider accreditata Ecm e socio di Wonca Italia. 
",70,94,17079
inascisl6895,Istituto Nazionale di Assistenza Sociale,CISL,INAS CISL,italy,UCNJkiykF0cp-8Wz73IaFN9A,https://www.youtube.com/channel/UCNJkiykF0cp-8Wz73IaFN9A,2014-09-16 10:27:04+00:00,,26,191,11220
CafCislVideo,CAF CISL,CISL,Caf Cis,italy,UCLaMhbRoLS0vQVm32kPWpZQ,https://www.youtube.com/channel/UCLaMhbRoLS0vQVm32kPWpZQ,2019-03-20 16:24:03+00:00,"Caf Cisl fornisce a iscritti, lavoratori e pensionati assistenza e consulenza personalizzata e qualificata nel campo fiscale e delle agevolazioni sociali.",43,2290,207526
Uilanazionale,Unione Italiana Lavoratori Agroalimentari,UIL,Uilanazionale,italy,UCBDE7sBAFw-M7-9qgzkvUTg,https://www.youtube.com/channel/UCBDE7sBAFw-M7-9qgzkvUTg,2010-02-05 10:55:56+00:00,"La UILA (Unione Italiana Lavoratori Agroalimentari) è un sindacato laico e riformista che nasce nel 1994 dalla fusione di due settori (agricolo e industria alimentare) della Uil ma affonda le sue radici nelle lotte bracciantili di fine '800 e nella costituzione delle prime leghe comunali degli operai agricoli.
 Alla UILA aderiscono i lavoratori del settore, di ogni convinzione religiosa, politica e appartenenza etnica, associati per la difesa dei comuni interessi professionali, economici, sociali e morali nel rispetto dei principi di democrazia e libertà, affermati nella costituzione repubblicana nata dalla resistenza.
 
La UILA si prefigge lo scopo di difendere e migliorare gli interessi sociali, economici e morali degli iscritti per determinare, assieme ad un ordinamento socio-politico più avanzato della nazione, condizioni di vita rispondenti alle esigenze della categoria",97,193,20634
FeNEALUilNazionale,Federazione Nazionale Lavoratori Edili e Affini e del Legno,UIL,FENEALUIL NAZIONALE,italy,UCWIGXOYg9Te9odyS6Uxsn1Q,https://www.youtube.com/channel/UCWIGXOYg9Te9odyS6Uxsn1Q,2010-11-29 15:48:56+00:00,Federazione Nazionale Lavoratori Edili e Affini e del Legno,115,26,6477
UiltecNazionale,"Unione Italiana Lavoratori Tessile, Energia e Chimica",UIL,Uiltec Nazionale,italy,UCGd4voYFp1_lGQYw9Lnrz1w,https://www.youtube.com/channel/UCGd4voYFp1_lGQYw9Lnrz1w,2013-03-29 08:26:56+00:00,"La UILTEC - Unione Italiana Lavoratori Tessile, Energia e Chimica è la federazione sindacale che riunisce e organizza i lavoratori delle imprese operanti nei settori produttivi ed industriali dell'abbigliamento, calzature, chimica e farmaceutica, gomma plastica e cavi, vetro e lampade, concia, ceramica e piastrelle, miniere, petrolio, ingegneria, energia, gas e acqua che fa capo alla Confederazione della UIL (Unione Italiana del Lavoro). È nata il 25 gennaio 2013 dalla fusione tra la UILCEM (Unione Italiana Lavoratori della Chimica Energia e Manifatturiero) e la UILTA (Unione Italiana Lavoratori del Tessile e Abbigliamento).
Il Segretario Generale è Paolo Pirani eletto durante il Congresso Straordinario di fondazione del 25 gennaio 2013.",193,748,43506
faahd101,Uilm Nazionale,UIL,,italy,UCdes3c_ndFsJtYD2H1Oxqig,https://www.youtube.com/channel/UCdes3c_ndFsJtYD2H1Oxqig,2007-11-13 18:29:49+00:00,,63,40,26024
Uilcanetwork,Uilca Nazionale,UIL,,italy,UCTYnB58dI7jWLHPF1cTjnkw,https://www.youtube.com/channel/UCTYnB58dI7jWLHPF1cTjnkw,2011-04-04 15:16:33+00:00,"UIL Credito, Esattorie e Assicurazioni, è l'Organizzazione Sindacale della Uil che riunisce le lavoratrici e i lavoratori del settore del credito, finanziario, delle concessionarie esattoriali, delle assicurazioni e delle Autorità.",918,283,105444
UILCOMUNICAZIONE,UILCOMUNICAZIONE,UIL,,italy,UCs7a772ral_-YZdP5V6BCZA,https://www.youtube.com/channel/UCs7a772ral_-YZdP5V6BCZA,2011-10-04 10:31:57+00:00,IL CANALE WEB TV UFFICIALE DELLA SEGRETERIA NAZIONALE UILCOM,142,76,17699
uilpostesegreterianazional2817,Uilposte Segreteria Nazionale,UIL,,italy,UCz6ybiNcfsRbz0JNbUJfzgw,https://www.youtube.com/channel/UCz6ybiNcfsRbz0JNbUJfzgw,2017-03-20 14:27:04+00:00,,62,326,36772
UILTucsVideo,UILTuCS - Unione Italiana Lavoratori Turismo Commercio e Servizi,UIL,UILTuCS,italy,UCJ_EgxOWxFp6DsJUdSdUAgw,https://www.youtube.com/channel/UCJ_EgxOWxFp6DsJUdSdUAgw,2010-05-24 14:41:38+00:00,UILTuCS - Unione Italiana Lavoratori Turismo Commercio e Servizi,108,162,35260
uiltrasportinazionale5767,Uiltrasporti Nazionale,UIL,,italy,UCO4T2FjxaMljcXDshMEXJ2A,https://www.youtube.com/channel/UCO4T2FjxaMljcXDshMEXJ2A,2013-08-21 14:39:15+00:00,"Benevnuti sul Canale Ufficiale You Tube della Uiltrasporti Nazionale.

Per informazioni contattate:
Uiltrasporti Nazionale
Viale Del Policlinico, 131 - 00161 Roma 
Telefono: (+39) 06.86267204 
E-mail: helpdesk@uiltrasporti.it - Sito Web: www.uiltrasporti.it",176,153,48564
uilfplnazionale2172,UIL FPL Nazionale,UIL,,italy,UCxsPPNIFlozBeeESzLX3t_A,https://www.youtube.com/channel/UCxsPPNIFlozBeeESzLX3t_A,2014-12-11 10:18:17+00:00,,82,231,25466
uilscuolavideonews3956,UIL Scuola,UIL,UIL Scuola videonews,italy,UCYaAlMug4XGYrEZakQN0MYg,https://www.youtube.com/channel/UCYaAlMug4XGYrEZakQN0MYg,2014-06-24 13:13:34+00:00,La voce libera della scuola.,56,614,26821
uilmilanoelombardia916,UIL - Unione Italiana del Lavoro,UIL,UIL Milano e Lombardia,italy,UCl0RwLLFm3FEX_tjgN0fMMw,https://www.youtube.com/channel/UCl0RwLLFm3FEX_tjgN0fMMw,2020-01-26 11:44:34.779531+00:00,,355,157,31689
uil-unioneitalianadellavor4538,UIL - Unione Italiana del Lavoro,UIL,,italy,UCW_00_Z_PiMJTkqEkEaqvgQ,https://www.youtube.com/channel/UCW_00_Z_PiMJTkqEkEaqvgQ,2020-02-06 09:23:32.376609+00:00,,17,17,1509
cub-confederazioneunitaria1458,Confederazione del Comitati di Base (CUB),,CUB - Confederazione Unitaria di Base,italy,UCp5FzvvzPFkHYQzlIdr3tgg,https://www.youtube.com/channel/UCp5FzvvzPFkHYQzlIdr3tgg,2022-02-22 11:38:20.567892+00:00,"La Confederazione Unitaria di Base (CUB) è il più importante sindacato di base operante nel nostro paese; organizza lavoratori dell’industria, dei servizi, del pubblico impiego, gli inquilini e i pensionati, ed è composta dai seguenti sindacati di base: FLMUniti (metalmeccanici, telefonici, energia); 
FLAICA (commercio, industria alimentare, igiene urbana, pulizie, servizi), 
ALLCA (chimici, energia, farmaceutici, plastica, gomma), 
CUB-Edili/Legno, 
CUB-Scuola, 
CUB-Informazione, 
CUB-Pensionati, 
CUB-Sanità, 
CUB-Tessili/Calzaturieri, 
CUB Trasporti, 
CUB - Immigrazione, 
CUB Pubblico Impiego, Cobas PT, S
CUB ALLCA  (Credito e Assicurazioni), 
CUB Unione Inquilini (casa e territorio).

MARCELO AMENDOLA (già portavoce nazionale) è il Segretario Nazionale.
",216,51,5557
confsalVideo,CONFSAL,,,italy,UCAK_67Uilrf3UcgwKo5vadQ,https://www.youtube.com/channel/UCAK_67Uilrf3UcgwKo5vadQ,2012-02-24 06:32:02+00:00,Confederazione Generale dei Sindacati Autonomi,127,340,48236
unionesindacaleitalianacar4411,Unione Sindacale Italiana Carabinieri,,,italy,UClYehhBpDosFmwgXhlz5bFA,https://www.youtube.com/channel/UClYehhBpDosFmwgXhlz5bFA,2019-10-16 09:12:15.043949+00:00,L'unione Sindacale Italiana Carabinieri naturale conseguenza della sentenza della Suprema Corte Costituzionale nr. 120/2018 vuole legittimare e migliorare le peculiarità della Rappresentanza Militare in tema di diritti del personale. La differenza sostanziale tra i due Istituti la si riconosce perché la Rappresentanza è un organo elettivo fino ai massimi livelli e la cui funzione è di essere affiancata al relativo comandante di vertice mentre l'associazionismo sindacale sarà la controparte dell'Amministrazione.,89,737,108124
unionesindacaleitalianafin2917,Unione Sindacale Italiana Finanzieri,,,italy,UCwwUXnXXyqN-heVJwQFC-0A,https://www.youtube.com/channel/UCwwUXnXXyqN-heVJwQFC-0A,2019-03-28 08:42:32+00:00,,62,159,6096
